DeJon Jarreau|28|8.0|4.6|3.3|0.9|0.7|0.398|0.133|0.783
David Roddy|24|8.0|4.0|0.8|0.8|0.2|0.5|0.273|1.0
Tre Scott|29|8.0|5.2|1.7|1.3|0.8|0.38|0.316|0.667
Nate Williams|26|8.0|2.1|1.0|0.4|0.0|0.489|0.433|0.867
Bruce Brown|29|7.9|3.9|2.1|1.0|0.2|0.475|0.385|0.762
Moussa Diabate|24|7.9|8.7|1.9|0.8|1.0|0.631|0.5|0.659
Tyson Etienne|26|7.9|1.1|1.7|0.5|0.0|0.4|0.398|0.833
Leonard Miller|22|7.8|3.9|0.9|0.4|0.3|0.553|0.323|0.736
Walter Clayton|22|7.8|2.0|4.0|0.6|0.3|0.384|0.307|0.901
Paul Reed|26|7.8|4.5|1.2|0.9|0.9|0.617|0.325|0.664
Oscar Tshiebwe|26|7.8|6.6|1.2|0.6|0.2|0.634|0.0|0.551
Dominick Barlow|22|7.7|4.8|1.2|0.9|0.7|0.539|0.256|0.718
Quinten Post|25|7.7|4.0|1.4|0.4|0.5|0.44|0.336|0.791
Ousmane Dieng|22|7.6|3.2|2.4|0.4|0.3|0.422|0.341|0.711
Buddy Hield|33|7.6|2.3|1.4|0.8|0.2|0.437|0.349|0.811
Ryan Kalkbrenner|24|7.6|5.5|0.8|0.5|1.5|0.753|0.0|0.716
Vince Williams Jr.|25|7.5|3.9|4.2|0.7|0.4|0.353|0.311|0.78
Jaxson Hayes|25|7.5|4.1|0.9|0.4|0.8|0.756|1.0|0.653
Gary Payton II|33|7.5|3.6|1.7|0.9|0.3|0.583|0.291|0.65
Ben Saraf|19|7.5|2.1|3.3|0.9|0.2|0.396|0.211|0.83
Ja'Kobe Walter|21|7.5|2.6|1.2|1.0|0.2|0.446|0.409|0.789
Josh Minott|23|7.4|3.2|0.9|0.9|0.5|0.5|0.418|0.787
Taylor Hendricks|22|7.4|3.7|0.9|0.8|0.5|0.459|0.342|0.681
Jose Alvarado|27|7.4|2.5|3.4|1.0|0.1|0.416|0.352|0.761
Bogdan Bogdanovic|33|7.4|2.6|2.2|0.4|0.1|0.388|0.347|0.8
